Sample,Source Text,Values
0,"During recent research on cognitive behaviour, we've been using a server at 2005:fffd:2b8a:a4ff:26ef:3ee0:e2d5:32c0 within Kozeyberg county to access data. Patient Alana Drew MacGyver took part in the study. For further details, please contact the assigned Specialist on (730) 260-1601.",IPV6: 2005:fffd:2b8a:a4ff:26ef:3ee0:e2d5:32c0; CITY: kozeyberg; COUNTY: county; FIRSTNAME: alana | drew; LASTNAME: macgyver; PHONENUMBER: (730)260-1601
1,"Hello Brett, based on your guidance, we have made some changes to the PR plan. I'd like to share it with you before our meeting with Armstrong - Lang.",FIRSTNAME: brett; COMPANYNAME: armstrong-lang
2,The Bitcoin address 1wAXc32HZ6NKPctttwvpyKe8Bkk4fz7 associated with our supply chain payments is not going through. Can the Marketing department check this?,BITCOINADDRESS: 1waxc32hz6nkpctttwvpyke8bkk4fz7; JOBAREA: marketing
3,"As a Agender who has worked in many counties, including Fife and Herefordshire, I've noticed that mental health issues do not respect geographical barriers. Whether you are in the Southeast or west, the problem is undeniably pervasive.",GENDER: agender; COUNTY: fife | herefordshire | west; ORDINALDIRECTION: southeast
4,"Consumer law case of Odell Jules Streich involves credit card chargebacks, disputes and refunds with the holder maestro. The bank account involved is Savings Account with account number 05070004. Please consult relevant documentation related to the case.",FIRSTNAME: odell | jules; LASTNAME: streich; USERNAME: maestro; ACCOUNTNAME: savingsaccount; ACCOUNTNUMBER: 05070004
5,"If you are interested in our exclusive seminars on Gender Justice, please click our https://glum-great-grandfather.org link. We look forward to your participation.",URL: https://glum-great-grandfather.org
6,"For continuity plan updates, please be aware your Investment Account will be secured by our root server 63.206.117.241. It's crucial you provide correct 20501 and County Tyrone information for accurate location monitoring.",ACCOUNTNAME: investmentaccount; IPV4: 63.206.117.241; BUILDINGNUMBER: 205; ZIPCODE: 01; COUNTY: countytyrone
7,The office event has been moved to Suite Suite 146. Please inform your team members.,SECONDARYADDRESS: suite | suite146
8,"Dear Ollie Phoenix Wiegand, your Investment Account will be charged for upcoming Personality Disorder Therapy sessions on June 22, 1966. To avoid interruption of service, please ensure your visa ends with 2989988999170148 has sufficient funds.","FIRSTNAME: ollie | phoenix; LASTNAME: wiegand; ACCOUNTNAME: investmentaccount; DATE: june22,1966; JOBAREA: visa; CREDITCARDNUMBER: 2989988999170148"
9,Keeping the NGN conversion up-to-date is critical for our international corporate governance procedures.,
10,"Terrence, please confirm that you've authorized the latest transfer from your Home Loan Account to NL81CDOP0094504314. The amount was $395.18.",FIRSTNAME: terrence; ACCOUNTNAME: homeloanaccount; IBAN: nl81cdop0094504314; CURRENCYSYMBOL: $; AMOUNT: 395.18
11,"Good day, Ms. Noah. There will be a meeting at 1956 Devon Walks regarding the Animal-assisted Therapy Program. Please join us at 3. Give us a call at 221.717.7877 x70301 for any queries.",PREFIX: ms.; FIRSTNAME: noah; BUILDINGNUMBER: 1956; STREET: devonwalks; TIME: 3; PHONENUMBER: 221.717.7877x70301
12,Revised the business model for Coordinator. Feedback needed to 206.122.154.243 before we finalize.,JOBTYPE: coordinator; IPV4: 206.122.154.243
13,"In the Carmichael group, 65308 Ursula Courts, we found a significant correlation between Neither 64 individuals, despite observations done with utmost respect to privacy, including concealing 37-539995-047410-9.",COMPANYNAME: carmichaelgroup; BUILDINGNUMBER: 65308; STREET: ursulacourts; GENDER: neither; AGE: 64; PHONEIMEI: 37-539995-047410-9
14,"Tommie, a reminder for the corporate training for Forward Branding Assistant scheduled on 1902-06-01T06:29:52.569Z at 15. Make sure to come prepared with any questions or concerns you might have about the upcoming training.",FIRSTNAME: tommie; JOBTITLE: forwardbrandingassistant; DATE: 1902-06-01t06:29:52.569z; TIME: 15
15,"Our automated payment system at https://those-hybridization.com/ will securely process transactions with credit cards from issuers like diners_club. For issues, contact 1-328-654-5761 x81229.",URL: https://those-hybridization.com/; EMAIL: diner; CURRENCY: s_club; PHONENUMBER: 1-328-654-5761x81229
16,Discussing Orval's road to recovery tomorrow at our team meeting. Accessed patient data at 223.190.164.178.,FIRSTNAME: orval; IPV4: 223.190.164.178
17,Sent the quarterly performance review to Zackery Botsford at Augustus_Moen82@gmail.com. Used cd05:148e:3fca:cbbc:d291:5f57:b7cf:7c45 assigned to your workstation. Ensure the VPN is always active.,FIRSTNAME: zackery; LASTNAME: botsford; EMAIL: augustus_moen82@gmail.com; IPV6: cd05:148e:3fca:cbbc:d291:5f57:b7cf:7c45
18,"Confirmation needed for neuropsych appointment on May 8, 2000 at 3:07 PM.","DATE: may8,2000; TIME: 3:07pm"
19,"During the audit for corporate governance, your area of work (Interactions) will be reviewed for compliance to standards.",JOBAREA: interactions
20,"Before we move ahead with Terry and Sons for carrying out our Data tasks, I wish to have a detailed discussion with Laurie Farrell. Please arrange a meeting at 11/21.",COMPANYNAME: terryandsons; JOBAREA: data; FIRSTNAME: laurie; LASTNAME: farrell; DATE: 11/21
21,"Due to recent threats, we are changing our login system. Please reset your password at https://whole-preparation.org/.",URL: https://whole-preparation.org/
22,Request: Study of a Trans with disrupted sleeping patterns. Age: 50 years. Use Flavio.OConnell for detailed data entry.,GENDER: trans; AGE: 50years; USERNAME: flavio.oconnell
23,"Dear Trans person, we're informing you about a discrepancy in transaction via discover card 4149262048864883.",GENDER: transperson; COUNTY: discover; CREDITCARDNUMBER: 4149262048864883
24,"To get access to our Money Market Account, contact Adan53 from the finance department. The funds will be transferred in Kwacha.",ACCOUNTNAME: moneymarketaccount; USERNAME: adan53; COUNTY: kwacha
25,Investment Account showing excessive high-risk transactions from Bitcoin address 1Usw18eCQ6qfx8ZSKR2mpWAABngrQkypW7Uv6w53. Ensure Ryan is aware.,ACCOUNTNAME: investmentaccount; BITCOINADDRESS: 1usw18ecq6qfx8zskr2mpwaabngrqkypw7uv6w53; FIRSTNAME: ryan
26,An urgent discussion needs to be held regarding the latest environmental law in Texas. Let's discuss via 45.218.194.253.,STATE: texas; IPV4: 45.218.194.253
27,We observed a great interest in mental health initiatives during our previous seminars in Kent and East Eleanora. Looking forward to your active participation in our forthcoming event.,COUNTY: kent; CITY: easteleanora
28,"Edgardo, kindly update your Johnnie.Bernhard on our HR platform. Your new department is Infrastructure.",FIRSTNAME: edgardo; USERNAME: johnnie.bernhard; JOBAREA: infrastructure
29,Our records show that you were at Alabama during the incident. We would like to arrange a meeting to discuss your case further on 1920-06-14T04:38:13.148Z 9.,STATE: alabama; DATE: 1920-06-14t04:38:13.148z9
